,ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
3417,MRIN,MARIN SOFTWARE INCORPORATED,stocks,us,XNAS,CS,True,usd,0001389002,BBG001M6NQK4,BBG001V10GH6,2022-01-26T00:00:00Z
3418,MRK,"Merck & Co., Inc.",stocks,us,XNYS,CS,True,usd,0000310158,BBG000BPD168,BBG001S5TC52,2022-01-26T00:00:00Z
3419,MRKR,"Marker Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001094038,BBG000GMZP09,BBG001SKLLN7,2022-01-26T00:00:00Z
3420,MRNA,"Moderna, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001682852,BBG003PHHZT1,BBG003PHHZV8,2022-01-26T00:00:00Z
3421,MRNS,"Marinus Pharmaceuticals, Inc",stocks,us,XNAS,CS,True,usd,0001267813,BBG00253KMF6,BBG00253KMG5,2022-01-26T00:00:00Z
3422,MRO,Marathon Oil Corporation,stocks,us,XNYS,CS,True,usd,0000101778,BBG000C49LF5,BBG001S69V69,2022-01-26T00:00:00Z
3423,MRSN,"Mersana Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001442836,BBG001CPSVF3,BBG001TZ57P0,2022-01-26T00:00:00Z
3424,MRTN,Marten Transport Ltd,stocks,us,XNAS,CS,True,usd,0000799167,BBG000BPDJM1,BBG001S5TCK5,2022-01-26T00:00:00Z
3425,MRTX,"Mirati Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001576263,BBG004TPGBP5,BBG001SF6HK7,2022-01-26T00:00:00Z
3426,MRUS,Merus N.V. Common Shares,stocks,us,XNAS,CS,True,usd,0001651311,,,2022-01-26T00:00:00Z
3427,MRVI,"Maravai LifeSciences Holdings, Inc. Class A Common Stock",stocks,us,XNAS,CS,True,usd,0001823239,BBG00Y1DFV91,BBG00Y1DFW44,2022-01-26T00:00:00Z
3428,MRVL,"Marvell Technology, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001835632,BBG00ZXBJ153,BBG00ZXBJ162,2022-01-26T00:00:00Z
3429,MS,Morgan Stanley,stocks,us,XNYS,CS,True,usd,0000895421,BBG000BLX7P1,BBG001S9V5Z3,2022-01-26T00:00:00Z
3430,MSA,Mine Safety Incorporated,stocks,us,XNYS,CS,True,usd,0000066570,BBG000BPDXF8,BBG001S5TCN2,2022-01-26T00:00:00Z
3431,MSAC,Medicus Sciences Acquisition Corp. Class A Ordinary Share,stocks,us,XNAS,CS,True,usd,0001836517,,,2022-01-26T00:00:00Z
3432,MSB,Mesabi Trust,stocks,us,XNYS,CS,True,usd,0000065172,BBG000BPFCM4,BBG001S5TCR8,2022-01-26T00:00:00Z
3433,MSBI,"Midland States Bancorp, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001466026,BBG000G2ZK31,BBG001SMZRY3,2022-01-26T00:00:00Z
3434,MSCI,"MSCI, Inc.",stocks,us,XNYS,CS,True,usd,0001408198,BBG000RTDY25,BBG001SV8B05,2022-01-26T00:00:00Z
3435,MSDA,MSD Acquisition Corp. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001846996,,,2022-01-26T00:00:00Z
3436,MSEX,Middlesex Water Co,stocks,us,XNAS,CS,True,usd,0000066004,BBG000BPGQ60,BBG001S5TCZ9,2022-01-26T00:00:00Z
3437,MSFT,Microsoft Corp,stocks,us,XNAS,CS,True,usd,0000789019,BBG000BPH459,BBG001S5TD05,2022-01-26T00:00:00Z
3438,MSGE,Madison Square Garden Entertainment Corp.,stocks,us,XNYS,CS,True,usd,0001795250,BBG00L9HLWV8,BBG00L9HLWW7,2022-01-26T00:00:00Z
3439,MSGM,Motorsport Games Inc. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001821175,BBG00YM466G5,BBG00YM46791,2022-01-26T00:00:00Z
3440,MSGS,Madison Square Garden Sports Corp.,stocks,us,XNYS,CS,True,usd,0001636519,BBG007FG0C23,BBG007FG0C32,2022-01-26T00:00:00Z
3441,MSI,"Motorola Solutions, Inc. New",stocks,us,XNYS,CS,True,usd,0000068505,BBG000BP8Z50,BBG001S5T9L1,2022-01-26T00:00:00Z
3442,MSM,"MSC Industrial Direct Co., Inc. Class A",stocks,us,XNYS,CS,True,usd,0001003078,BBG000BCLYL9,BBG001S5TD87,2022-01-26T00:00:00Z
3443,MSN,Emerson Radio Corp.,stocks,us,XASE,CS,True,usd,0000032621,BBG000C33CS9,BBG001S6F7V7,2022-01-26T00:00:00Z
3444,MSP,Datto Holding Corp.,stocks,us,XNYS,CS,True,usd,0001724570,BBG00XP8FYQ3,BBG00XP8FYR2,2022-01-26T00:00:00Z
3445,MSTR,MicroStrategy Inc,stocks,us,XNAS,CS,True,usd,0001050446,BBG000CKLT59,BBG001SC7PX1,2022-01-26T00:00:00Z
3446,MSVB,"Mid-Southern Bancorp, Inc.",stocks,us,XNAS,CS,True,usd,0001734875,BBG00L17G133,BBG00L17G142,2022-01-26T00:00:00Z
3447,MTA,Metalla Royalty & Streaming Ltd.,stocks,us,XASE,CS,True,usd,0001722606,BBG000HM5YW7,BBG001SF89W0,2022-01-26T00:00:00Z
3448,MTAC,MedTech Acquisition Corporation Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001826667,BBG00Z1TKRG8,BBG00Z1TKRH7,2022-01-26T00:00:00Z
3449,MTAL,Metals Acquisition Corp,stocks,us,XNYS,CS,True,usd,0001853021,,,2022-01-26T00:00:00Z
3450,MTB,M&T Bank Corp.,stocks,us,XNYS,CS,True,usd,0000036270,BBG000D9KWL9,BBG001S7S2B4,2022-01-26T00:00:00Z
3451,MTBC,"CareCloud, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001582982,BBG000QYF0M5,BBG001SSV992,2022-01-26T00:00:00Z
3452,MTC,"MMTec, Inc. Common Shares",stocks,us,XNAS,CS,True,usd,0001742518,,,2022-01-26T00:00:00Z
3453,MTCH,"Match Group, Inc",stocks,us,XNAS,CS,True,usd,0000891103,BBG00VT0KNC3,BBG00VT0KP47,2022-01-26T00:00:00Z
3454,MTCR,"Metacrine, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001634379,BBG009R3Z5S4,BBG009R3Z5T3,2022-01-26T00:00:00Z
3455,MTD,Mettler-Toledo International,stocks,us,XNYS,CS,True,usd,0001037646,BBG000BZCKH3,BBG001SB87G1,2022-01-26T00:00:00Z
