,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
138,2021-12-21,11:48,11:48 AM,152.1,152.065,152.065,152.1,152.087,307,46690.7,5,A
139,2021-12-21,11:49,11:49 AM,152.17,152.115,152.17,152.115,152.149,268,40775.82,3,A
140,2021-12-21,11:50,11:50 AM,152.11,152.11,152.11,152.11,152.11,100,15211.0,1,A
141,2021-12-21,11:51,11:51 AM,152.24,152.24,152.24,152.24,152.24,100,15224.0,1,A
142,2021-12-21,11:52,11:52 AM,152.27,152.245,152.27,152.245,152.262,300,45678.5,3,A
143,2021-12-21,11:53,11:53 AM,152.425,152.28,152.36,152.425,152.374,825,125708.5,9,A
144,2021-12-21,11:54,11:54 AM,152.35,152.35,152.35,152.35,152.35,200,30470.0,2,A
145,2021-12-21,11:55,11:55 AM,152.38,152.27,152.27,152.38,152.363,162,24682.9,3,A
146,2021-12-21,11:56,11:56 AM,152.375,152.375,152.375,152.375,152.375,200,30475.0,2,A
147,2021-12-21,11:57,11:57 AM,152.35,152.3,152.35,152.3,152.304,110,16753.5,2,A
148,2021-12-21,11:58,11:58 AM,152.235,152.235,152.235,152.235,152.235,200,30447.0,2,A
149,2021-12-21,11:59,11:59 AM,152.235,152.08,152.235,152.09,152.129,533,81084.64,7,A
150,2021-12-21,12:00,12 PM,152.115,152.05,152.095,152.115,152.107,506,76966.3,6,A
151,2021-12-21,12:01,12:01 PM,152.21,152.11,152.11,152.18,152.149,74,11259.055,9,A
152,2021-12-21,12:02,12:02 PM,152.185,152.185,152.185,152.185,152.185,100,15218.5,1,A
153,2021-12-21,12:03,12:03 PM,152.315,152.22,152.22,152.315,152.284,838,127614.36,10,A
154,2021-12-21,12:04,12:04 PM,152.3,152.29,152.29,152.3,152.295,200,30459.0,2,A
155,2021-12-21,12:05,12:05 PM,152.29,152.29,152.29,152.29,152.29,10,1522.9,1,A
156,2021-12-21,12:06,12:06 PM,152.19,152.19,152.19,152.19,152.19,100,15219.0,2,A
157,2021-12-21,12:07,12:07 PM,152.27,152.235,152.235,152.27,152.263,625,95164.6,8,A
158,2021-12-21,12:08,12:08 PM,152.29,152.18,152.235,152.29,152.275,226,34414.23,4,A
159,2021-12-21,12:09,12:09 PM,152.27,152.14,152.27,152.16,152.182,240,36523.75,6,A
160,2021-12-21,12:10,12:10 PM,152.19,152.08,152.19,152.125,152.128,116,17646.88,3,A
161,2021-12-21,12:11,12:11 PM,152.235,152.23,152.235,152.23,152.232,200,30446.5,2,A
162,2021-12-21,12:12,12:12 PM,152.27,152.24,152.24,152.27,152.257,400,60903.0,4,A
163,2021-12-21,12:13,12:13 PM,152.28,152.245,152.245,152.27,152.25,121,18422.25,4,A
164,2021-12-21,12:14,12:14 PM,,,,,,0,0.0,0,A
165,2021-12-21,12:15,12:15 PM,152.33,152.3,152.315,152.33,152.308,211,32137.03,4,A
166,2021-12-21,12:16,12:16 PM,152.385,152.385,152.385,152.385,152.385,300,45715.5,3,A
167,2021-12-21,12:17,12:17 PM,,,,,,0,0.0,0,A
168,2021-12-21,12:18,12:18 PM,152.415,152.34,152.415,152.365,152.375,301,45864.865,6,A
169,2021-12-21,12:19,12:19 PM,152.425,152.33,152.33,152.425,152.405,127,19355.41,2,A
170,2021-12-21,12:20,12:20 PM,152.46,152.45,152.45,152.46,152.455,200,30491.0,2,A
171,2021-12-21,12:21,12:21 PM,,,,,,0,0.0,0,A
172,2021-12-21,12:22,12:22 PM,152.44,152.44,152.44,152.44,152.44,20,3048.8,1,A
173,2021-12-21,12:23,12:23 PM,152.5,152.45,152.5,152.46,152.469,134,20430.8,3,A
174,2021-12-21,12:24,12:24 PM,152.44,152.44,152.44,152.44,152.44,10,1524.4,1,A
175,2021-12-21,12:25,12:25 PM,152.52,152.52,152.52,152.52,152.52,225,34317.0,3,A
176,2021-12-21,12:26,12:26 PM,152.54,152.54,152.54,152.54,152.54,10,1525.4,1,A
177,2021-12-21,12:27,12:27 PM,152.555,152.445,152.555,152.445,152.459,411,62660.51,5,A
178,2021-12-21,12:28,12:28 PM,,,,,,0,0.0,0,A
179,2021-12-21,12:29,12:29 PM,152.44,152.44,152.44,152.44,152.44,101,15396.44,2,A
180,2021-12-21,12:30,12:30 PM,152.565,152.37,152.38,152.545,152.528,536,81754.82,9,A
181,2021-12-21,12:31,12:31 PM,,,,,,0,0.0,0,A
182,2021-12-21,12:32,12:32 PM,152.56,152.53,152.555,152.56,152.538,320,48812.15,5,A
183,2021-12-21,12:33,12:33 PM,,,,,,0,0.0,0,A
184,2021-12-21,12:34,12:34 PM,,,,,,0,0.0,0,A
185,2021-12-21,12:35,12:35 PM,152.53,152.485,152.52,152.485,152.522,296,45146.47,10,A
186,2021-12-21,12:36,12:36 PM,152.51,152.495,152.495,152.51,152.509,110,16775.95,2,A
187,2021-12-21,12:37,12:37 PM,152.57,152.52,152.57,152.52,152.529,53,8084.06,2,A
188,2021-12-21,12:38,12:38 PM,152.61,152.61,152.61,152.61,152.61,100,15261.0,1,A
189,2021-12-21,12:39,12:39 PM,152.59,152.59,152.59,152.59,152.59,10,1525.9,1,A
190,2021-12-21,12:40,12:40 PM,152.64,152.6,152.6,152.64,152.635,115,17553.0,2,A
191,2021-12-21,12:41,12:41 PM,152.67,152.61,152.61,152.67,152.632,27,4121.07,2,A
192,2021-12-21,12:42,12:42 PM,152.635,152.635,152.635,152.635,152.635,100,15263.5,1,A
193,2021-12-21,12:43,12:43 PM,152.64,152.55,152.64,152.55,152.562,243,37072.53,4,A
194,2021-12-21,12:44,12:44 PM,152.57,152.51,152.51,152.51,152.514,150,22877.1,3,A
195,2021-12-21,12:45,12:45 PM,152.59,152.59,152.59,152.59,152.59,33,5035.47,3,A
196,2021-12-21,12:46,12:46 PM,,,,,,0,0.0,0,A
197,2021-12-21,12:47,12:47 PM,152.64,152.57,152.57,152.64,152.628,245,37393.8,8,A
198,2021-12-21,12:48,12:48 PM,152.72,152.615,152.635,152.72,152.657,600,91594.0,6,A
